"created_at","Product","Cost","Home","Bill_Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/10/2015","nill",0,0,"Health INSU",56.69,0,0,0,0,0,0,30,0,6.5,93.19
"02/10/2015","nill",0,0,"nill",0,0,0,0,0,0,0,30,0,12.8,42.8
"03/10/2015","movie",26,0,"nill",0,0,43.8,0,0,0,0,0,0,0,69.8
"04/10/2015","me pant",44.5,0,"nill",0,0,127.8,0,0,0,0,0,0,0,172.3
"05/10/2015","Target",18,25.5,"Optus",182.1,0,78,0,111,839,78.1,0,0,0,1331.7
"06/10/2015","nill",0,0,"viber",15,0,0,0,0,0,0,30,0,6.5,51.5
"07/10/2015","nill",0,0,"nill",0,0,0,0,0,0,0,30,0,6.5,36.5
"08/10/2015","nill",0,0,"nill",0,0,0,0,0,0,0,30,0,6.5,36.5
"09/10/2015","nill",0,0,"nill",0,0,0,0,0,0,40,30,650,6.5,726.5
"10/10/2015","spike light",0,250,"nill",0,0,0,0,0,0,0,0,0,0,250
"11/10/2015","Vast",0,2300,"Food",50,0,0,0,0,0,0,0,0,0,2350
"12/10/2015","me medicine",21,0,"nill",0,0,9,0,0,839,0,30,0,12.8,911.8
"13/10/2015","Cc Cam",0,112,"nill",0,0,0,0,0,0,0,30,0,6.55,148.55
"14/10/2015","Land Pay check",8,0,"viber",5.9,0,0,0,0,0,0,30,0,13.1,57
"15/10/2015","Bunnings",0,128,"Electricity",255,0,25,0,0,0,83.82,30,0,6.55,528.37
"16/10/2015","lia hair",30,0,"nill",0,0,60,0,0,0,0,20,0,13.1,123.1
"17/10/2015","delivery",0,100,"nill",0,0,120,0,0,0,0,0,0,0,220
"18/10/2015","light setup",0,180,"food",35,0,0,0,0,0,0,0,0,0,215
"19/10/2015","nill",0,46,"nill",0,0,0,0,0,839,0,30,0,6.55,921.55
"20/10/2015","Lia dress",60,0,"nill",0,0,0,0,0,0,0,30,0,6.55,96.55
"21/10/2015","nill",0,0,"nill",0,0,0,0,0,0,40,20,0,13.1,73.1
"22/10/2015","nill",0,0,"Gas",287.5,0,48,0,0,0,0,30,0,13.1,378.6
"23/10/2015","nill",0,0,"Home Insu",57.92,0,12.4,0,49,0,0,30,0,6.55,155.87
"24/10/2015","nill",0,46,"nill",0,0,25,0,0,0,0,0,0,0,71
"25/10/2015","nill",0,128,"Internet",99.9,0,66,60,0,0,0,0,0,0,353.9
"26/10/2015","Abbu ammu Visa",275,0,"Food",35,0,0,0,0,839,40,20,0,6.55,1215.55
"27/10/2015","nill",0,0,"nill",0,0,0,0,0,0,0,30,30,6.55,66.55
"28/10/2015","nill",0,0,"nill",0,0,0,0,0,0,89.26,30,30,6.55,155.81
"29/10/2015","Lia",200,0,"Lawn",30,0,0,0,0,0,0,30,30,13.1,303.1
"30/10/2015","Lia hair",30,0,"nill",0,0,0,0,0,0,0,30,30,6.55,96.55
"31/10/2015","Me hair",20,68,"Garden Light",280,0,110,0,133.69,0,0,0,0,0,611.69
