created_at,Product,Cost,Home,Bill_Item,Bills,Payoff,Entertainment,Ciger,Groceries,Mortgage,Petrol,Food,Driving,Toll,Total_Expenses
16/09/2014,Daniel Elec,0,50,nill,0,0,0,0,0,0,0,22,0,12.46,84.46
17/09/2014,nill,0,0,Telstra,22.95,0,0,0,0,0,0,22,0,6.23,51.18
18/09/2014,grooming,50,0,nill,0,0,0,0,0,0,0,22,0,6.23,78.23
19/09/2014,nill,0,0,nill,0,0,22,0,0,0,0,18,0,6.23,46.23
20/09/2014,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
21/09/2014,nill,0,0,nill,0,0,20,0,0,0,90,0,0,0,110
22/09/2014,lia,30,0,nill,0,0,17,0,0,791,10,0,0,0,848
23/09/2014,nill,0,0,Home Insu,77,0,0,0,0,0,0,0,0,6.23,83.23
24/09/2014,lia saree,250,0,Food,35,500,0,0,0,0,0,22,0,6.23,813.23
25/09/2014,lia,4,0,internet,99.9,0,0,13,0,0,0,22,0,6.23,145.13
26/09/2014,flickr,24.99,0,nill,0,0,85,0,0,0,0,22,0,6.23,138.22
27/09/2014,Daouat,115,26,nill,0,0,0,0,0,0,0,0,0,0,141
28/09/2014,nill,0,20,nill,0,0,0,0,0,0,0,0,0,0,20
29/09/2014,nill,0,20,nill,0,0,0,0,0,791,0,22,0,6.23,839.23
30/09/2014,Cusion,0,192,nill,0,0,0,20,12,0,0,14,0,6.23,244.23
01/10/2014,me medicine,28,0,nill,0,0,0,0,0,0,0,22,0,6.23,56.23
02/10/2014,ripon vai gift,65,0,health Insu,51,0,0,0,0,0,97,22,0,6.23,241.23
03/10/2014,me shirt,35,0,nill,0,0,0,0,0,0,0,22,0,6.23,63.23
04/10/2014,daouat,320,0,nill,0,0,0,0,0,0,0,17,0,0,337
05/10/2014,bd eid,300,0,nill,0,0,0,0,22,0,0,0,0,0,322
06/10/2014,nill,0,0,nill,0,0,0,0,0,791,0,0,0,0,791
07/10/2014,car transmission,0,0,Mobile,179,0,0,0,0,0,0,22,126,6.23,333.23
08/10/2014,nill,0,0,nill,0,0,0,0,0,0,0,22,0,6.29,28.29
09/10/2014,lia med,8,0,nill,0,0,0,0,0,0,0,22,0,6.29,36.29
10/10/2014,lia no visa,55,0,nill,0,0,0,0,0,0,0,22,0,6.29,83.29
11/10/2014,nill,0,0,nill,0,0,50,0,0,0,0,0,0,0,50
12/10/2014,nill,0,0,nill,0,0,0,0,33,0,0,0,0,0,33
13/10/2014,nill,0,0,nill,0,0,0,0,0,791,0,22,0,6.29,819.29
